-31,-10,-21,25088,173945104
-38,-12,-22,25088,173946335
-34,-7,-14,25088,173947566
-33,-9,-21,25088,173948797
-34,-14,-23,25600,173950026
-30,-11,-23,25088,173951255
-36,-5,-22,25600,173952484
-30,-10,-30,25088,173953714
-33,-9,-27,25088,173954944
-34,-8,-23,25600,173956174
-34,-7,-18,25088,173957404
-32,-6,-18,25600,173958634
-35,-9,-23,25600,173959866
-39,-8,-20,25600,173961098
-34,-8,-21,25600,173962330
-32,-6,-19,25088,173963562
-39,-9,-24,25088,173964794
-36,-11,-23,25600,173966026
-36,-13,-24,25600,173967258
-37,-10,-15,25600,173968490
-38,-13,-15,25088,173969727
-34,-13,-20,25600,173970964
-35,-13,-22,25600,173972201
-30,-12,-24,25088,173973438
-34,-13,-27,25088,173974675
-37,-12,-28,25088,173975912
-39,-10,-24,25600,173977149
-39,-8,-24,25600,173978386
-37,-10,-27,25088,173979623
-36,-12,-22,25600,173980866
-37,-13,-24,25600,173982109
-45,-8,-14,25088,173983352
-37,-12,-29,25600,173984595
-40,-13,-16,25600,173985827
-36,-10,-15,25088,173987059
-37,-7,-28,25600,173988291
-34,-14,-18,25088,173989525
-33,-13,-18,25600,173990759
-35,-10,-24,25600,173991993
-31,-10,-25,25600,173993227
-34,-8,-21,25600,173994461
-34,-11,-23,25088,173995695
-34,-7,-21,25088,173996929
-39,-9,-21,25600,173998163
-39,-9,-17,25088,173999400
-36,-12,-22,25600,174000637
-47,-12,-19,25088,174001874
-37,-10,-26,25600,174003111
-35,-10,-23,25600,174004348
-35,-10,-25,25600,174005585
-33,-11,-21,25600,174006822
-30,-5,-22,25088,174008059
-30,-9,-31,25600,174009299
-26,-7,-31,25088,174010539
-42,-5,-17,25600,174011779
-32,-13,-28,25600,174013019
-33,-8,-27,25600,174014259
-39,-9,-23,25600,174015499
-37,-10,-16,25088,174016739
-33,-9,-24,25600,174017979
-34,-9,-27,25088,174019221
-30,-10,-26,25088,174020463
-44,-1,-16,25600,174021705
-39,-6,-29,25600,174022947
-38,-10,-27,25600,174024189
-40,-8,-21,25600,174025431
-35,-8,-26,25088,174026673
-34,-12,-24,25088,174027915
-35,-13,-26,25088,174029159
-28,-11,-25,25600,174030403
-38,-5,-14,25088,174031647
-31,-8,-34,25600,174032891
-34,-12,-26,25088,174034135
-34,-8,-19,25600,174035379
-37,-9,-17,25600,174036623
-37,-6,-27,25088,174037867
-42,-12,-24,25088,174039106
-34,-5,-25,25600,174040345
-42,-6,-13,25600,174041584
-30,-7,-40,25600,174042823
-36,-7,-27,25600,174044062
-33,-11,-21,25088,174045301
-30,-10,-26,25600,174046549
-30,-9,-19,25088,174047797
-33,-10,-23,25088,174049044
-34,-9,-23,25600,174050291
-34,-8,-21,25600,174051538
-36,-7,-17,25600,174052788
-30,-8,-22,25600,174054038
-41,-7,-19,25600,174055288
-37,-10,-22,25088,174056538
-37,-9,-30,25600,174057788
-38,-11,-23,25600,174059039
-33,-8,-20,25088,174060290
-41,-4,-14,25088,174061541
-34,-7,-33,25088,174062792
-31,-9,-33,25600,174064043
-29,-10,-18,25088,174065294
-33,-6,-24,25600,174066545
-35,-9,-26,25088,174067796
-34,-12,-26,25088,174069041
-34,-11,-27,25088,174070286
-41,-5,-14,25600,174071531
-30,-6,-32,25088,174072776
-36,-8,-15,25600,174074021
-35,-11,-18,25600,174075266
-35,-12,-18,25088,174076511
-37,-10,-21,25600,174077756
-35,-8,-30,25088,174079001
-36,-8,-26,25088,174080248
-29,-8,-20,25088,174081495
-37,-6,-17,25600,174082742
-31,-7,-29,25600,174083989
-36,-6,-30,25088,174085236
-40,-5,-23,25600,174086494
-32,-7,-14,25600,174087752
-34,-7,-22,25088,174089010
-33,-8,-19,25088,174090268
-40,-10,-19,25600,174091526
-36,-8,-30,25600,174092784
-38,-5,-22,25600,174094042
-35,-3,-20,25600,174095300
-34,-9,-22,25600,174096558
-38,-6,-33,25088,174097816
-35,-6,-27,25600,174099074
-34,-8,-22,25600,174100332
-35,-8,-23,25088,174101590
-32,-10,-31,25088,174102848
-39,-6,-24,25600,174104106
-32,-7,-26,25088,174105364
-39,-7,-24,25600,174106622
-32,-6,-22,25600,174107880
-33,-7,-25,25088,174109142
-37,-13,-24,25088,174110404
-41,-7,-19,25600,174111666
-34,-11,-23,25088,174112925
-31,-10,-15,25600,174114184
-32,-8,-24,25088,174115443
-36,-10,-28,25600,174116702
-32,-12,-24,25088,174117961
-34,-10,-25,25088,174119204
-33,-6,-24,25088,174120464
-33,-9,-24,25088,174121724
-30,-9,-20,25088,174122984
-31,-8,-17,25088,174124244
-33,-8,-23,25088,174125504
-33,-8,-25,25088,174126764
-36,-9,-22,25088,174128024
-34,-7,-25,25088,174129284
-36,-5,-20,25088,174130544
-40,-5,-27,25088,174131804
-34,-7,-28,25088,174133064
-33,-8,-15,25600,174134324
-36,-7,-18,25088,174135584
-36,-8,-24,25088,174136844
-38,-10,-22,25088,174138104
-38,-9,-14,25088,174139359
-39,-10,-15,25600,174140614
-36,-6,-23,25088,174141869
-34,-8,-19,25600,174143124
-37,-11,-20,25088,174144379
-38,-12,-24,25088,174145634
-34,-9,-27,25088,174146895
-32,-11,-28,25088,174148156
-37,-5,-19,25088,174149415
-28,-9,-35,25088,174150674
-32,-8,-22,25600,174151933
-34,-7,-23,25600,174153193
-34,-9,-24,25600,174154453
-33,-10,-20,25600,174155713
-37,-7,-29,25600,174156973
-39,-11,-18,25600,174158233
-37,-10,-20,25088,174159491
-36,-12,-20,25600,174160749
-35,-8,-26,25088,174162007
-36,-11,-17,25088,174163265
-35,-10,-17,25600,174164523
-35,-6,-22,25600,174165781
-34,-6,-28,25088,174167039
-35,-8,-23,25088,174168297
-34,-15,-26,25600,174169538
-33,-12,-25,25088,174170779
-39,-6,-28,25088,174172020
-33,-13,-19,25088,174173261
-31,-12,-21,25088,174174502
-36,-7,-27,25088,174175743
-37,-6,-26,25600,174176984
-35,-7,-22,25600,174178225
-34,-7,-24,25600,174179466
-38,-7,-22,25088,174180714
-28,-10,-22,25088,174181962
-42,-6,-11,25088,174183210
-31,-6,-34,25088,174184458
-35,-7,-30,25088,174185706
-36,-9,-19,25088,174186962
-34,-12,-19,25088,174188218
-38,-11,-18,25088,174189471
-31,-13,-36,25088,174190724
-32,-15,-29,25088,174191977
-36,-12,-13,25088,174193230
-37,-12,-22,25600,174194483
-37,-8,-22,25600,174195736
-37,-9,-20,25088,174196989
-42,-6,-23,25600,174198242
-42,-8,-29,25088,174199494
-39,-9,-25,25088,174200746
-38,-10,-25,25088,174201998
-32,-10,-21,25088,174203250
-33,-6,-26,25088,174204502
-37,-7,-30,25088,174205754
-35,-6,-27,25600,174207006
-38,-6,-21,25600,174208258
-40,-9,-22,25600,174209493
-38,-12,-24,25088,174210728
-39,-4,-19,25088,174211963
-38,-5,-17,25088,174213198
-36,-8,-22,25088,174214427
-33,-12,-23,25088,174215656
-35,-15,-30,25600,174216885
-34,-10,-26,25088,174218114
-38,-11,-25,25088,174219343
-38,-9,-25,25088,174220571
-35,-9,-20,25088,174221799
-33,-9,-15,25088,174223027
-32,-5,-24,25600,174224255
-32,-4,-22,25088,174225483
-35,-9,-20,25088,174226711
-37,-9,-29,25088,174227939
-42,-7,-24,25600,174229167
-41,-11,-28,25600,174230394
-36,-9,-17,25088,174231621
-36,-12,-24,25088,174232848
-34,-8,-27,25600,174234075
-35,-5,-24,25088,174235302
-34,-4,-27,25088,174236529
-34,-7,-30,25088,174237756
-35,-6,-25,25088,174238983
-32,-9,-27,25088,174240224
-30,-8,-25,25088,174241465
-35,-8,-20,25600,174242706
-33,-8,-23,25600,174243947
-33,-7,-24,25600,174245188
-34,-8,-23,25600,174246415
-33,-9,-16,25600,174247642
-39,-10,-19,25088,174248869
-39,-8,-24,25088,174250094
-42,-6,-14,25088,174251319
-38,-8,-20,25088,174252544
-38,-5,-24,25088,174253769
-37,-6,-21,25088,174254994
-34,-10,-20,25088,174256219
-35,-6,-32,25600,174257444
-38,-6,-25,25088,174258669
-35,-7,-23,25088,174259893
-30,-3,-22,25088,174261117
-32,-5,-28,25600,174262341
-34,-6,-23,25088,174263565
-35,-6,-22,25088,174264789
-34,-10,-27,25088,174266013
-38,-6,-22,25600,174267237
-35,-6,-22,25088,174268461
-37,-6,-19,25088,174269697
-32,-4,-19,25600,174270933
-39,-6,-18,25600,174272169
-30,-8,-25,25088,174273405
-34,-8,-30,25600,174274641
-32,-8,-22,25088,174275877
-31,-10,-22,25088,174277113
-31,-9,-19,25088,174278349
-31,-4,-23,25088,174279574
-33,-9,-28,25088,174280821
-40,-6,-19,25600,174282068
-34,-12,-23,25088,174283315
-37,-11,-19,25088,174284562
-37,-9,-21,25088,174285795
-37,-7,-27,25088,174287028
-38,-5,-27,25600,174288261
-34,-11,-21,25088,174289495
-32,-12,-16,25088,174290729
-39,-10,-26,25088,174291963
-35,-10,-25,25088,174293197
-36,-7,-23,25600,174294431
-31,-8,-33,25600,174295665
-32,-11,-27,25600,174296899
-30,-9,-23,25600,174298133
-33,-10,-24,25088,174299370
-31,-7,-20,25600,174300607
-42,-6,-8,25600,174301844
-38,-13,-22,25600,174303081
-36,-11,-26,25088,174304318
-39,-13,-20,25600,174305555
-36,-13,-21,25088,174306792
-37,-14,-27,25088,174308029
-36,-13,-26,25600,174309267
-31,-10,-24,25600,174310505
-37,-6,-13,25600,174311743
-29,-11,-29,25600,174312985
-31,-14,-21,25600,174314227
-30,-12,-20,25088,174315469
-33,-8,-22,25088,174316711
-33,-8,-24,25088,174317953
-33,-8,-26,25088,174319199
-29,-9,-24,25088,174320445
-35,-4,-16,25088,174321691
-33,-9,-24,25600,174322937
-33,-9,-29,25088,174324183
-36,-6,-17,25600,174325429
-36,-10,-15,25088,174326675
-35,-8,-18,25088,174327921
-38,-8,-21,25600,174329169
-28,-8,-23,25088,174330417
-42,-9,-12,25088,174331665
-37,-11,-35,25088,174332913
-35,-12,-25,25088,174334161
-33,-7,-21,25600,174335409
-34,-7,-22,25600,174336657
-34,-12,-22,25600,174337905
-33,-9,-24,25600,174339145
-29,-12,-30,25088,174340385
-40,-5,-15,25600,174341625
-37,-7,-30,25088,174342865
-38,-11,-26,25600,174344105
-34,-8,-16,25600,174345345
-32,-7,-17,25088,174346595
-37,-6,-18,25600,174347845
-34,-11,-23,25088,174349094
-29,-12,-26,25088,174350343
-30,-12,-19,25088,174351592
-32,-12,-24,25088,174352845
-28,-9,-29,25600,174354098
-36,-7,-20,25600,174355351
-32,-8,-22,25088,174356604
-37,-9,-23,25088,174357857
-37,-12,-24,25088,174359111
-31,-14,-19,25088,174360365
-39,-8,-11,25088,174361619
-34,-5,-30,25088,174362873
-33,-11,-27,25600,174364127
-33,-10,-12,25600,174365381
-34,-8,-16,25600,174366635
-34,-8,-23,25088,174367889
-36,-8,-25,25600,174369153
-34,-5,-27,25600,174370417
-44,-5,-14,25600,174371681
-34,-11,-31,25600,174372945
-31,-12,-20,25600,174374209
-35,-7,-26,25088,174375473
-37,-5,-22,25088,174376737
-39,-4,-31,25600,174378001
-37,-6,-31,25600,174379254
-34,-8,-25,25600,174380502
-39,-7,-23,25088,174381750
-32,-8,-17,25088,174382998
-33,-7,-17,25600,174384246
-31,-7,-28,25088,174385494
-32,-5,-27,25088,174386754
-27,-3,-15,25600,174388014
-33,-5,-19,25088,174389274
-31,-7,-19,25088,174390534
-39,-7,-21,25600,174391794
-35,-8,-33,25088,174393054
-39,-9,-29,25088,174394314
-39,-8,-16,25600,174395574
-36,-13,-23,25088,174396834
-36,-12,-22,25088,174398094
-33,-10,-28,25088,174399352
-38,-6,-26,25600,174400610
-39,-7,-23,25088,174401868
-37,-13,-33,25600,174403126
-37,-7,-21,25088,174404384
-31,-9,-22,25088,174405642
-37,-6,-25,25600,174406900
-39,-6,-24,25600,174408158
-35,-6,-30,25600,174409416
-33,-10,-32,25088,174410674
-42,-7,-19,25600,174411932
-37,-10,-29,25600,174413191
-35,-7,-22,25088,174414450
-38,-6,-17,25600,174415709
-35,-9,-29,25600,174416968
-35,-10,-26,25600,174418227
-37,-8,-14,25088,174419467
-35,-13,-24,25088,174420723
-38,-13,-29,25088,174421979
-32,-11,-24,25088,174423235
-35,-12,-17,25600,174424491
-36,-8,-26,25600,174425747
-34,-8,-26,25600,174427003
-35,-6,-22,25600,174428259
-31,-1,-24,25088,174429514
-32,-7,-27,25088,174430769
-34,-5,-22,25600,174432024
-31,-10,-30,25088,174433279
-35,-9,-18,25088,174434534
-36,-9,-24,25600,174435789
-37,-10,-24,25600,174437044
-35,-10,-24,25600,174438299
-34,-8,-24,25088,174439545
-34,-9,-23,25088,174440791
-38,-9,-27,25600,174442037
-33,-10,-22,25600,174443283
-35,-6,-18,25600,174444529
-34,-11,-23,25600,174445775
-34,-11,-28,25600,174447031
-32,-10,-23,25088,174448287
-43,-7,-12,25088,174449539
-37,-9,-27,25088,174450791
-39,-9,-30,25600,174452043
-37,-14,-29,25600,174453296
-37,-10,-16,25088,174454549
-37,-6,-22,25600,174455802
-38,-7,-36,25600,174457055
-42,-6,-24,25600,174458308
-33,-7,-24,25088,174459559
-31,-8,-30,25600,174460810
-35,-5,-32,25600,174462061
-37,-12,-24,25088,174463312
-37,-11,-21,25088,174464563
-36,-11,-26,25088,174465814
-37,-9,-24,25600,174467065
-32,-8,-24,25088,174468316
-33,-7,-24,25088,174469550
-36,-11,-27,25600,174470784
-41,-10,-27,25088,174472018
-35,-9,-18,25088,174473252
-37,-8,-23,25088,174474486
-36,-8,-27,25088,174475720
-35,-9,-24,25088,174476954
-31,-9,-21,25088,174478188
-33,-7,-21,25088,174479422
-34,-5,-21,25088,174480664
-34,-5,-14,25088,174481906
-45,-2,-12,25600,174483148
-36,-9,-30,25088,174484390
-39,-13,-27,25088,174485632
-36,-10,-18,25088,174486883
-31,-9,-19,25088,174488134
-37,-11,-13,25600,174489383
-36,-12,-27,25600,174490632
-39,-6,-25,25600,174491881
-36,-9,-19,25600,174493130
-37,-9,-18,25088,174494379
-33,-9,-27,25088,174495628
-34,-13,-30,25600,174496877
-31,-6,-26,25088,174498126
-36,-7,-22,25600,174499375
-34,-8,-27,25600,174500624
-41,-4,-21,25600,174501873
-33,-10,-16,25088,174503122
-34,-11,-20,25088,174504371
-33,-11,-25,25088,174505620
-36,-9,-22,25088,174506869
-38,-11,-22,25088,174508118
-38,-10,-23,25088,174509367
-42,-10,-23,25088,174510616
-40,-8,-24,25088,174511865
-35,-12,-22,25088,174513092
-37,-7,-22,25600,174514319
-39,-4,-26,25600,174515546
-38,-9,-22,25600,174516773
-38,-12,-27,25600,174518000
-36,-11,-28,25600,174519227
-35,-8,-22,25600,174520454
-37,-8,-25,25600,174521681
-34,-12,-25,25600,174522908
-35,-7,-24,25088,174524135
-39,-7,-23,25088,174525362
-35,-8,-23,25088,174526589
-36,-6,-27,25600,174527816
-38,-11,-25,25088,174529043
-33,-9,-27,25088,174530270
-37,-3,-25,25600,174531497
-34,-10,-20,25088,174532724
-34,-8,-24,25088,174533951
-36,-8,-24,25600,174535178
-31,-9,-24,25088,174536405
-34,-6,-21,25088,174537632
-36,-9,-20,25088,174538859
-36,-11,-20,25088,174540103
-41,-7,-23,25088,174541347
-44,-7,-23,25600,174542591
-34,-7,-24,25088,174543835
-35,-8,-31,25088,174545079
-38,-9,-25,25088,174546308
-34,-9,-25,25600,174547537
-35,-8,-24,25600,174548766
-34,-12,-25,25088,174549994
-42,-9,-16,25088,174551222
-37,-9,-25,25600,174552450
-34,-10,-27,25600,174553677
-35,-6,-22,25600,174554904
-36,-8,-16,25088,174556131
-37,-9,-23,25088,174557358
-38,-10,-21,25088,174558585
-39,-9,-22,25088,174559812
-36,-8,-19,25088,174561039
-39,-13,-25,25600,174562266
-35,-11,-21,25088,174563493
-38,-5,-23,25088,174564720
-40,-9,-28,25600,174565947
-34,-9,-22,25600,174567174
-29,-8,-25,25600,174568401
-32,-7,-25,25600,174569639
-33,-9,-23,25088,174570877
-41,-6,-21,25088,174572115
-33,-12,-20,25088,174573353
-37,-7,-26,25088,174574591
-42,-5,-22,25088,174575829
-37,-8,-20,25088,174577067
-38,-8,-22,25088,174578305
-36,-8,-24,25088,174579532
-32,-7,-26,25088,174580782
-41,-6,-19,25088,174582032
